cid,store_hash
873,6089062d0d776423bab988d99bfdd407
1659,2b2e4b9d2dcf25e970e39c602ac5e4de
1693,4721481901b168408503bec2df545392
1693,017ad261566f771a5ee8fb8a416e3e02
1705,a01dbc007bbc84698dbdd20e701e9777
1769,724c04b5f3a76f0c59669b07301f0a9e
1809,6ba53224373a8c7007731277cb1411d2
2011,2bc6b5e63d7cfe995165d2926cdce141
3052,f9aba4fa9cb5711d1c607043a9cfcb8e
3181,bea5eee073240f28651d8929a9afb028
3653,17a64bac2b9bdfae6eac8427a4b5c56d
4004,55a113c0ba0f044d0ec13f822a24fd5f
4245,f0768c2f9f8c2afd7b3ee613953c195b
4338,0a7c77225659add48023c89650674656
4664,024ff26970483845546bb65f8415a3d1
14327,fc52c4bda43ef4b62c5ea13b092b722e
14330,e5b1108022a17c9d0d3c76e4fd5131b2
14340,6a8caae273da02c939c2185f0078b34c
14345,5aede5b5ce30cf4d37f625a8033e0cc4
14357,8467a1135976bd139e2fd11e29f26662
14377,c1409f714f1dded7afabc65bdd814b7d
14383,983d1c44be88a3aec15134dea01382d0
14388,02fcd5eec95418dba96c7bfd5678e212
14425,751a8675eee75da90e5eed9aafa51898
14436,af846fedcb42ea66e72500e008757756
14536,5a0da7b712daf90f4b499edeeecf813a
14537,3d373b81cff314480e1fe55c6ed8e3c6
14579,56403fe63cba8dde0abc1b399a784ddd
14603,10e73726c7c2bc06cbb6c09d2ea68dc0
14646,261d6d38c59f85a9bef95de650d58729
14687,8246a7f5891fd2b2ae4e8b245f7611fb
14689,c14ed9c1dfd95adffc817710799c0877
14775,6b75a952ca4addf759c94bc5a40fbe73
14784,25f2173ce5ee05b9aca0ff39d11d7bb0
14819,813933b7faf56157dd78ac8b27cf8a57
14825,add1e954f04dc178ff3c5b3005a74d95
14836,77778d8b3753241f02e0fc8cb66c6d70
14872,c3957021e9198acaf0c88cf01ce1e8da
14913,93d550eeee0581aee8b77b9f79074da4
14914,7ba0b06635b67c15636ed26601e82aef
14977,3a327ef6472dc6e9c9848af80c613461
15097,a24955a22e4af2670119c33d4df2fba3
15118,d8883b7007d991a9e2196e97ba1fcf66
15125,7183902705696e669b255bbde0c2f8c6
15545,6c7cbc267c8b1bb250385ea413705cca
15554,d42cadc800aae10a8c4e80a145c4c9bb
15740,eaae5033fcd03ca5f673b6ce428c7bc1
15760,9edbb8adcde99215a4b6ebd0e1b922ac
15857,0a6d2de62ca5ad24b3be15fcb8d20187
15874,7d10d771148d72f189934dd016afa900
16172,4dbdddb8b77fc9b152630a6747cf9fbe
16175,2cb832f36c17592da3c845d7fa5a2323
16333,efdb42244950ed162daf3cbdce55654d
21071,b6c536dcf33e45b22e28f36cb24e740a
21235,c7f5ffd245da92ce3168c1f6a75625b9
21300,b168266bfb4791cd3d9a7f5f53f28de7
21454,8917eca2d3d6921dcc6039148c571707
21741,82c2ace94b269b456cf5b1cad9b1b44d
22839,b000e4bbf606e9c74ca754742050ce93
,
1087,85e914591df486dc533501dca4d01eb9
1558,588e0732500e2f11742ef05e5e466173
