Title,URL,"Page Type",Published,H1,"Meta Title","Meta Description","Search Filter Year","Search Filter Make","Search Filter Model","Search Categories","Search Terms",Content,"Featured On Home Page"
"Contact Us",contact-us,page,Yes,"Contact Us","Contact Us","Need help with your GM wholesale parts order or have questions on a particular GM OEM part? We're here to help!",,,,,,"<p><strong style=""background-color: initial;"">Support Email:</strong>&nbsp;&nbsp;<a style=""background-color: initial;"" href=""mailto:{$GlobalSupportEmail}"">{$GlobalSupportEmail}</a>.</p>
<br>
<p><strong>Please have your vehicle VIN available if you need assistance locating a part lookup</strong></p><p>Order Status Information can also be accessed online through the <a href=""{$GlobalHttpUrl}/index.php?p=order_status"">Order Status</a> page.</p>",
"GM Warranty Information",gm-warranty-info,page,Yes,"GM Warranty Information","GM Warranty Information",,,,,,,"<p>Genuine GM parts sold on GMWholesaleDirect.com carry a 12mo/unlimited mile warranty. &nbsp;If you have a problem with a GM part purchased from us within that time period, please contact us for information on how to return the part to us for credit, or replacement. &nbsp;Electrical parts that are defective may ONLY be exchanged for a new unit. &nbsp;Only electrical parts that are unopened may be returned for credit.</p><p>Since we do not manufacture parts, all parts sold on GMWholesaleDirect.com carry the manufacturers warranty. &nbsp;GMWholesaleDirect.com hereby expressly disclaims all warranties, expressed or implied, including any implied warranty of merchantability or fitness for a particular purpose.&nbsp; GMWholesaleDirect.com neither assumes nor authorizes any other person to assume for it any liability in connection with the sale of said parts or loss of use, loss of time, loss of profit or income, or any other incidental damages. &nbsp;This disclaimer in no way affect the provisions of any manufacturer or distributor warranties.</p><p>GM Powertrain products such as engines, transmissions, and transfer cases carry a separate warranty. &nbsp;Please click the link below to view these details:</p><p><a href=""//s3.amazonaws.com/rparts-sites/7b13ba8ba79cde1d3502b5b96e7702c3/images/custom/GM_SERVICE_REPLACEMENT_POWERTRAIN_Final.pdf"">Click here for details for the GM Powertrain Warranty</a></p>",
"GM Performance Parts",gm-performance-parts,page,Yes,"GM Performance Parts","GM Performance Parts Store","Get All The Performance Parts You Need For Your GM Vehicle At Discount Prices With Fast Shipping Right To Your Door",,,,,,,
"Core Returns",core-returns,page,Yes,"Core Returns","Core Returns",,,,,,,"<p><strong><span style=""text-decoration: underline;""><span style=""font-size: x-large;"">Core Returns</span></span></strong></p>
<p><span style=""font-size: medium;"">Some items have a core charge added to them. &nbsp;When you purchase a part with a core charge, the core amount will be added to the total price. &nbsp;This charge ensures that we will receive the old part back so we can send it back to GM for credit.</span></p>
<p><span style=""font-size: medium;"">In order to receive credit on your core, please return the item to:</span></p>
<p><span style=""font-size: medium;""><br></span></p>
<p><span style=""font-size: large;""><strong><span style=""font-size: medium;"">GM Wholesale Direct</span></strong></span></p>
<p><span style=""font-size: large;""><strong><span style=""font-size: medium;"">Attn: Core Returns</span></strong></span></p>
<p><span style=""font-size: large;""><strong><span style=""font-size: medium;"">5415 Kelley Moore Drive</span></strong></span></p>
<p><span style=""font-size: large;""><strong><span style=""font-size: medium;"">Winston Salem, NC 27105</span></strong></span></p>
<p><span style=""font-size: medium;""><br></span></p>
<p><span style=""font-size: medium;"">Please note:</span></p>
<p><span style=""font-size: medium;""><span style=""white-space: pre;""> <strong>-Core return shipping cost is the responsibility of the customer. </strong></span></span></p><p><span style=""font-size: medium;""><span style=""white-space: pre;""></span>-Cores need to be returned in the original box they were packed in.</span></p><p><span style=""font-size: medium;"">&nbsp;- <strong>PLEASE DO NOT COVER OR WRITE ON ANY OF THE GM LABELS ON THE PACKAGING.&nbsp; WE CANNOT ISSUE CREDIT IF THE LABELS ARE COVERED OR WRITTEN ON</strong></span></p>
<p><span style=""font-size: medium;""><span style=""white-space: pre;""> </span>-All engine/transmission cores must have all fluids drained and MUST be returned in the original crate they were shipped in.</span></p>

<p>If you have any questions, please contact us at <a href=""mailto:service@gmwholesaledirect.com"" style=""font-size: medium; background-color: initial;"">service@gmwholesaledirect.com</a></p>",
"Oil Filters",oil-filters,search,Yes,"GM Oil Filters","GM Oil Filters For Sale","Buy Genuine OEM GM Oil Filters At Discount Prices For All GM Models With Fast Affordable Delivery Right To Your Door!",,,,,"oil filters;gm oil filters;gm oil filter replacement;new gm oil filter","<p>Oil filters prevent particulate matter from entering your vehicle’s engine. Neglecting to change the oil filter allows contamination to build up and flow into the engine. This causes internal wear and tear that shortens an engine’s life. Most oil manufacturers recommend changing the oil filter when you get an oil change - every three months or 3,000 miles, whichever comes first. Of course, you should check your individual owner's manual to make sure. Find OEM oil filters here on our site when it's time for replacement.</p>",Yes
"Air Filters",air-filters,search,Yes,"GM Air Filters","GM Air Filters For Sale","Buy Genuine OEM GM Air Filters At Discount Prices For All GM Models With Fast Affordable Delivery Right To Your Door!",,,,,"air filters;gm air filters;original gm air filters;gmc air filters","<p>Replacing your vehicle’s air filter is necessary for preventing small particulates, such as sand and pollen, out of your car’s engine as well as helping to prevent fouled spark plugs. A dirty air filter can cause a decrease in gas mileage, create a too-rich air-to-fuel ratio that affects emissions and can increase engine deposits. Most auto makers recommend changing the air filter every 12,000 to 15,000 miles. If your check engine light is on, the engine idles roughly or “misses”, or you aren’t getting the gas mileage you’ve come to expect, it may be time to change the air filter.</p>",Yes
"Cabin Filters",cabin-filters,search,Yes,"GM Cabin Filters","GM Cabin Filters For Sale","Buy Genuine OEM GM Cabin Filters At Discount Prices For All GM Models With Fast Affordable Delivery Right To Your Door!",,,,,"cabin filters","<h2>Replacing a GM Cabin Air Filter 101</h2><p>Hypothetical situation. Air quality's gotten worse on the interior of your GM vehicle lately. Has it been 30,000 miles or so since you last inspected the cabin air filter? It's probably time to replace it.</p><p>When things start to smell dirty or stale, it's telling. Even more telling: when the engine starts working harder than it should, and the <a href=""/air-conditioning"">air conditioning</a> and heating stop working as well. The next step: run an inspection. Find restricted airflow? The cabin filter's almost certainly clogged -- and it's definitely time to replace it.</p><h3>What Does it Cost on Average?</h3><p>It can run <a href=""https://repairpal.com/estimator/cabin-air-filter-replacement-cost"" target=""_blank"">anywhere from $65 to $90</a>, usually. Sometimes, it's a little more expensive, depending on your GM model. Cabin filters for subcompact SUVs like the <a href=""/v-buick-encore"">Buick Encore</a>, for instance, you might save money on; they can run $50 to $70 or so on average. Bigger trucks and SUVs like <a href=""/v-chevrolet-silverado-1500"">Chevy Silverado 1500</a> and <a href=""/v-cadillac-escalade-esv"">Cadillac Escalade ESV</a>, though, can make things a little more expensive; their cabin filters can run $70 to $105 and $100 to $150 or so, respectively.</p><p>You're in luck; we'll save you money. Our replacements are not only genuine GM and guaranteed to fit your model but also steeply marked down. They're even easy to change yourself. Check your owner's manual for more specific directions, but often, it's just a matter of doing the following.</p><h3>How Do I Replace One?</h3><p><ol><li>Open the glove box, find and remove the pin and screw that hold it up, and lower the compartment.</li><li>Pull off the cover behind the box.</li><li>Take out the old filter and clean the housing area.</li><li>Put the new filter in, replace the cover, raise the compartment back up, put the screw and pin back in, and close the box.</li></ol></p><h2>Shop OEM Cabin Air Filters from GM Wholesale Direct in Winston-Salem NC</h2><p>Order now; we'll ship anywhere stateside, and fast. Contact us with any questions.</p>",No
"Brake Pads",brake-pads,search,Yes,"GM Brake Pads","GM Brake Pads For Sale","Buy Genuine OEM GM Brake Pads At Discount Prices For All GM Models With Fast Affordable Delivery Right To Your Door!",,,,,"brake pads","<h2>How Much Does Replacing the Brake Pads on a GM Vehicle Cost on Average?</h2><p>No matter what car, truck, or SUV you drive, replacing brake pads usually isn't cheap. On average, it can run at least $260. Most times, it's $300 or more.</p><p>Costs depend, for one, on the GM model. You might get lucky driving a <a href=""/v-buick-lesabre"">Buick LeSabre</a>, for instance; you can expect typical costs there to be a little better -- between $110 and $140 per axle on average. Drive a <a href=""/v-chevrolet-silverado-1500"">Chevy Silverado 1500</a>, however, or a <a href=""/v-gmc-sierra-1500"">GMC Sierra 1500</a>, and you can expect a little higher bottom line: more than $300 per axle on average, sometimes closer to $375. You might see some of the biggest bills for brake pads for luxury cars like <a href=""/v-cadillac-cts"">Cadillac CTS</a>; they run between $360 and $400 per axle on average.</p><p>Of course, costs can also vary by the kind of brake pads, too -- not only those your vehicle has, sure, but also those it's compatible with. In other words, between organic brake pads, for instance, which many GM cars use, and ceramic, metallic/semi-metallic, or even carbon fiber, which many GM SUVs and sports cars use. (<a href=""/v-chevrolet-camaro"">Chevy Camaro</a>, for one, can use either ceramic or semi-metallic brake pads.)</p><p>Good thing you came to us here at GM Wholesale Direct for replacements. We've got what you've been looking for; it's OEM-quality, guaranteed to fit, and best of all, we'll save you money -- most of our brake pads are steeply discounted. Not sure how to install them, though? No problem; a <a href=""https://oss.gm.com/oss_redesign/ui-modules_redesign/Landing"">certified GM service center</a> can help.</p><h2>Shop OEM GM Brake Pads from Winston-Salem NC</h2><p>Brake repairs aren't something you should let go too long; order today, and you'll have the job done in no time. We'll ship fast, anywhere in the US. Contact us with any questions.</p>",Yes
"Brake Shoes",brake-shoes,search,Yes,"GM Brake Shoes","GM Brake Shoes For Sale","Buy Genuine OEM GM Brake Shoes At Discount Prices For All GM Models With Fast Affordable Delivery Right To Your Door!",,,,,"brake shoes","<h2>How Can I Tell if My GM Brake Shoes are Bad?</h2><p>Imagine driving a <a href=""/v-chevrolet"">Chevrolet</a> truck like <a href=""/v-chevrolet-silverado-1500"">Silverado 1500</a>. You're stuck in heavy stop-and-go traffic around Winston-Salem: business as usual on, say, the 285, headed out of town. You hit the <a href=""/brakes"">brakes</a>, and you start hearing weird scrapes or squeaks. Worse yet, you let up again, as traffic eases -- but you can still hear them. Maybe stopping's starting to take longer, too.</p><p>You'll want to run home (or to a <a href=""https://oss.gm.com/oss_redesign/ui-modules_redesign/Landing"">GM dealer</a>) for an inspection. Find the parking brake's loose? Or at least, that it isn't working the way it should? Check the car's drum brakes next, including the <a href=""/brake-drums"">brake drums</a> themselves. Most likely, you've got a faulty brake shoe. If it's worn out, there's no fixing it; you'll need to replace it.</p><p>Luckily, <a href=""https://www.wikihow.com/Change-Rear-Brake-Shoes"" target=""_blank"">the job's straightforward</a>, and the average cost, for Chevy Silverado 1500 in this case, should run anywhere from $430 to around $500. (It's usually more like between $260 and $299, for most vehicles; exceptions are for bigger ones usually, like <a href=""/v-gmc-g1500"">GMC G1500</a> -- brake shoes for one of those can run between $350 and almost $400.) Of course, that'll depend on whether your drum brakes are the everyday kind, clasp brakes, pinch brakes, or band brakes, too.</p><h2>Shop OEM Brake Shoes at GM Wholesale Direct in Winston-Salem NC</h2><p>We'll ship fast, anywhere in the States. So, take advantage of GM quality at markdown prices; order today. Contact us with any questions.</p>",Yes
"Brake Rotors",brake-rotors,search,Yes,"GM Brake Rotors","GM Brake Rotors For Sale","Buy Genuine OEM GM Brake Rotors At Discount Prices For All GM Models With Fast Affordable Delivery Right To Your Door!",,,,,"brake rotors","<h2>How Much Does it Cost to Replace GM Brake Rotors on Average?</h2><p>GM <a href=""/brakes"">brakes</a> can get pricey to fix, and fast. Sometimes, that's because one brake problem -- <a href=""/brake-calipers"">bad calipers</a>, for instance, or worn-out <a href=""/brake-pads"">brake pads</a> -- leads to another, and suddenly, you've got a huge bill for the average replacement cost of those calipers and pads: $740 and $260 on average.</p><p>Of course, this doesn't include the <a href=""https://repairpal.com/estimator/brake-rotor-replacement-cost"" target=""_blank"">average cost of replacing brake rotors</a> -- anywhere from $290 or so to $400 or more, on average. Unfortunately, that bottom line can be even higher, some of the time, depending on the GM model you drive.</p><p>You might luck out driving a <a href=""/v-chevrolet-silverado-1500"">Chevrolet Silverado 1500</a>; brake rotor replacement for one can run $290 on average. An SUV like <a href=""/v-buick-encore"">Buick Encore</a>, though, or a truck like <a href=""/v-gmc-sierra-1500"">GMC Sierra 1500</a>, and you might be looking at more like $360 on average. It's with luxury cars like <a href=""/v-cadillac-srx"">Cadillac SRX</a> that things start getting more expensive: brake rotor replacement for one of those can run $490 on average.</p><p>Not here at GM Wholesale Direct though. We've got what you've been looking for, and for less; it's OEM-quality and steeply discounted. Not sure how to install brake rotors, though? No problem; a <a href=""https://oss.gm.com/oss_redesign/ui-modules_redesign/Landing"">GM dealer</a> or an authorized GM service center will be happy to help.</p><h2>Shop OEM GM Brake Rotors from Winston-Salem NC</h2><p>Order now. We'll ship anywhere stateside, and fast; you'll have the job done before you know it. Any questions? You're welcome to contact us.</p>",Yes
